model,scenario,region,variables,unit,2020,2025,2030,2035,2040,2045,2050
eTIMES-EUNA,trade,LT,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,1.84618,1.84618,1.79448,0.03351,0.0,0.0,0.0
eTIMES-EUNA,trade,LU,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,0.80424,0.80218,0.79895,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,LV,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,0.47478,0.47554,0.47478,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,NL,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,0.04659,2.40726,0.03261,0.02878,0.0,0.0,0.0
eTIMES-EUNA,trade,NO,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,0.02581,0.02581,0.01807,0.0081,0.0,0.0,0.0
eTIMES-EUNA,trade,PL,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,4.32592,3.53414,3.53414,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,PT,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,0.01421,0.01421,0.00995,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,RO,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,0.54613,0.00908,0.00636,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,SE,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,11.61645,11.61645,10.82791,6.54137,0.0,0.0,0.0
eTIMES-EUNA,trade,SI,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,0.00017,0.00017,0.00012,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,SK,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,3.00465,1.94136,1.73577,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,GB,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,4.17024,0.37448,0.13621,0.13621,0.0,0.0,0.0
eTIMES-EUNA,trade,CH,Production|Electricity|Import|Import from AT,PJ/year,0.01051,0.0,0.17791,0.0,3.71312,15.48956,13.4204
eTIMES-EUNA,trade,CZ,Production|Electricity|Import|Import from AT,PJ/year,0.0,0.0,1.34536,1.24633,1.28099,0.13807,0.64912
eTIMES-EUNA,trade,DE,Production|Electricity|Import|Import from AT,PJ/year,0.0,0.0,8.87275,6.26542,12.97093,50.04492,97.14183
eTIMES-EUNA,trade,HU,Production|Electricity|Import|Import from AT,PJ/year,0.0,0.0,0.0796,0.0,0.0,0.0,0.55406
eTIMES-EUNA,trade,IT,Production|Electricity|Import|Import from AT,PJ/year,0.46027,0.0,0.0,0.15184,3.17703,3.18699,5.07086
eTIMES-EUNA,trade,SI,Production|Electricity|Import|Import from AT,PJ/year,0.8478,0.05954,0.16733,0.0,0.07125,0.19377,0.16924
eTIMES-EUNA,trade,DE,Production|Electricity|Import|Import from BE,PJ/year,0.0,0.0,0.0,0.0,0.0,0.87191,1.29304
eTIMES-EUNA,trade,FR,Production|Electricity|Import|Import from BE,PJ/year,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,LU,Production|Electricity|Import|Import from BE,PJ/year,0.0,0.06335,0.18786,0.05466,0.0,0.0,0.51608
eTIMES-EUNA,trade,NL,Production|Electricity|Import|Import from BE,PJ/year,0.0,0.0,0.0,0.0,0.0,0.0,3.48467
eTIMES-EUNA,trade,GB,Production|Electricity|Import|Import from BE,PJ/year,0.0,0.0,0.0,0.0,0.0,0.7434,2.31838
eTIMES-EUNA,trade,GR,Production|Electricity|Import|Import from BG,PJ/year,10.78531,7.2512,0.0,8.03053,14.85271,18.11651,17.41745
eTIMES-EUNA,trade,RO,Production|Electricity|Import|Import from BG,PJ/year,9.43715,3.85027,0.0,0.0,2.27318,3.81399,4.44961
eTIMES-EUNA,trade,AT,Production|Electricity|Import|Import from CH,PJ/year,1.31535,3.21687,0.05024,0.0,0.0,0.02542,0.0
eTIMES-EUNA,trade,DE,Production|Electricity|Import|Import from CH,PJ/year,7.71849,6.06445,26.62475,20.06473,8.01985,9.88907,29.1502
eTIMES-EUNA,trade,FR,Production|Electricity|Import|Import from CH,PJ/year,0.48287,0.03437,0.0,1.39148,0.0,1.8906,1.31451
eTIMES-EUNA,trade,IT,Production|Electricity|Import|Import from CH,PJ/year,11.09017,3.29113,0.0,0.64302,7.55067,1.06811,0.16042
eTIMES-EUNA,trade,AT,Production|Electricity|Import|Import from CZ,PJ/year,14.18794,2.17231,3.62989,4.98023,5.56982,4.77554,11.48565
eTIMES-EUNA,trade,DE,Production|Electricity|Import|Import from CZ,PJ/year,3.98577,5.14539,12.07022,7.70297,26.85199,43.621,81.32033
eTIMES-EUNA,trade,PL,Production|Electricity|Import|Import from CZ,PJ/year,0.0,0.0,0.40413,4.01081,9.54353,7.12209,2.9724
eTIMES-EUNA,trade,SK,Production|Electricity|Import|Import from CZ,PJ/year,0.0,0.0,0.6655,0.0,0.58877,0.0,0.54188
eTIMES-EUNA,trade,AT,Production|Electricity|Import|Import from DE,PJ/year,32.55428,24.10002,7.83964,12.09955,0.0,0.0,0.33734
eTIMES-EUNA,trade,BE,Production|Electricity|Import|Import from DE,PJ/year,16.52051,16.73551,9.4621,26.15319,24.53072,13.80236,7.5294
eTIMES-EUNA,trade,CH,Production|Electricity|Import|Import from DE,PJ/year,31.11673,6.74498,0.0,17.47663,11.69761,13.40049,6.83317
eTIMES-EUNA,trade,CZ,Production|Electricity|Import|Import from DE,PJ/year,0.26175,0.0,3.78899,4.29671,0.67858,0.0,0.0
eTIMES-EUNA,trade,DK,Production|Electricity|Import|Import from DE,PJ/year,0.0,0.0,0.0,1.15499,0.0,0.53197,1.09817
eTIMES-EUNA,trade,FR,Production|Electricity|Import|Import from DE,PJ/year,10.9367,3.84585,0.0,4.23594,2.31778,4.32198,5.76217
eTIMES-EUNA,trade,LU,Production|Electricity|Import|Import from DE,PJ/year,24.61221,28.10889,31.75726,28.88251,21.91895,18.42942,12.08837
eTIMES-EUNA,trade,NL,Production|Electricity|Import|Import from DE,PJ/year,0.0,20.94665,2.84404,4.744,0.29743,0.11343,10.40074
eTIMES-EUNA,trade,NO,Production|Electricity|Import|Import from DE,PJ/year,0.0,0.0,0.0,3.0082,3.38064,6.02557,10.8246
eTIMES-EUNA,trade,PL,Production|Electricity|Import|Import from DE,PJ/year,0.0,0.0,0.33279,4.22379,5.43511,0.00092,0.49973
eTIMES-EUNA,trade,SE,Production|Electricity|Import|Import from DE,PJ/year,0.0,0.0,0.0,0.0,1.06975,1.81229,2.83939
eTIMES-EUNA,trade,GB,Production|Electricity|Import|Import from DE,PJ/year,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,DE,Production|Electricity|Import|Import from DK,PJ/year,14.41118,21.33894,19.2718,13.5413,16.86969,28.17963,49.9364
eTIMES-EUNA,trade,NL,Production|Electricity|Import|Import from DK,PJ/year,3.39318,9.97107,0.61389,6.03179,3.3991,4.28032,2.66652
eTIMES-EUNA,trade,NO,Production|Electricity|Import|Import from DK,PJ/year,0.0,0.0,0.0,0.159,2.28883,24.93724,17.90926
